jel_field,field_name,publication_year,history_start_year,history_end_year,top_author_percentage,number_of_eligible_authors,nominal_number_of_top_authors,number_of_top_authors_including_ties,publication_count_cutoff,total_unique_papers,unique_papers_with_top_author,share_of_papers_with_top_author
D,Microeconomics,1995,1975,1994,10,1238,124,187,3,58,17,0.29310344827586204
D,Microeconomics,1996,1976,1995,10,1233,124,187,3,43,13,0.3023255813953488
D,Microeconomics,1997,1977,1996,10,1233,124,186,3,65,22,0.3384615384615385
D,Microeconomics,1998,1978,1997,10,1245,125,194,3,43,10,0.23255813953488372
D,Microeconomics,1999,1979,1998,10,1238,124,198,3,109,31,0.28440366972477066
D,Microeconomics,2000,1980,1999,10,1291,130,203,3,115,35,0.30434782608695654
D,Microeconomics,2020,2000,2019,10,3707,371,405,4,208,81,0.3894230769230769
D,Microeconomics,2021,2001,2020,10,3850,385,427,4,196,82,0.41836734693877553
D,Microeconomics,2022,2002,2021,10,3976,398,453,4,202,69,0.3415841584158416
D,Microeconomics,2023,2003,2022,10,4107,411,481,4,181,76,0.4198895027624309
D,Microeconomics,2024,2004,2023,10,4246,425,491,4,203,86,0.4236453201970443
D,Microeconomics,2025,2005,2024,10,4389,439,522,4,196,92,0.46938775510204084
C,Quantitative methods,1995,1975,1994,10,1432,144,222,3,39,14,0.358974358974359
C,Quantitative methods,1996,1976,1995,10,1405,141,224,3,47,16,0.3404255319148936
C,Quantitative methods,1997,1977,1996,10,1357,136,217,3,55,22,0.4
C,Quantitative methods,1998,1978,1997,10,1313,132,206,3,49,21,0.42857142857142855
C,Quantitative methods,1999,1979,1998,10,1287,129,196,3,52,17,0.3269230769230769
C,Quantitative methods,2000,1980,1999,10,1267,127,190,3,52,23,0.4423076923076923
C,Quantitative methods,2020,2000,2019,10,1930,193,303,3,97,33,0.3402061855670103
C,Quantitative methods,2021,2001,2020,10,2013,202,321,3,110,45,0.4090909090909091
C,Quantitative methods,2022,2002,2021,10,2113,212,333,3,106,38,0.3584905660377358
C,Quantitative methods,2023,2003,2022,10,2171,218,357,3,90,36,0.4
C,Quantitative methods,2024,2004,2023,10,2242,225,357,3,98,50,0.5102040816326531
C,Quantitative methods,2025,2005,2024,10,2321,233,364,3,79,32,0.4050632911392405
E,Macroeconomics,1995,1975,1994,10,1136,114,152,3,32,9,0.28125
E,Macroeconomics,1996,1976,1995,10,1114,112,147,3,44,10,0.22727272727272727
E,Macroeconomics,1997,1977,1996,10,1100,110,146,3,32,8,0.25
E,Macroeconomics,1998,1978,1997,10,1097,110,147,3,36,8,0.2222222222222222
E,Macroeconomics,1999,1979,1998,10,1092,110,147,3,52,15,0.28846153846153844
E,Macroeconomics,2000,1980,1999,10,1109,111,143,3,74,23,0.3108108108108108
E,Macroeconomics,2020,2000,2019,10,1862,187,191,4,94,36,0.3829787234042553
E,Macroeconomics,2021,2001,2020,10,1920,192,198,4,105,37,0.3523809523809524
E,Macroeconomics,2022,2002,2021,10,1980,198,210,4,90,44,0.4888888888888889
E,Macroeconomics,2023,2003,2022,10,2011,202,208,4,103,41,0.39805825242718446
E,Macroeconomics,2024,2004,2023,10,2075,208,217,4,101,43,0.42574257425742573
E,Macroeconomics,2025,2005,2024,10,2152,216,231,4,86,35,0.4069767441860465
J,Labor economics,1995,1975,1994,10,634,64,74,3,20,6,0.3
J,Labor economics,1996,1976,1995,10,629,63,72,3,34,8,0.23529411764705882
J,Labor economics,1997,1977,1996,10,638,64,71,3,26,5,0.19230769230769232
J,Labor economics,1998,1978,1997,10,656,66,71,3,31,7,0.22580645161290322
J,Labor economics,1999,1979,1998,10,662,67,70,3,85,15,0.17647058823529413
J,Labor economics,2000,1980,1999,10,744,75,75,3,73,13,0.1780821917808219
J,Labor economics,2020,2000,2019,10,2250,225,298,3,87,39,0.4482758620689655
J,Labor economics,2021,2001,2020,10,2327,233,300,3,89,35,0.39325842696629215
J,Labor economics,2022,2002,2021,10,2399,240,313,3,99,32,0.32323232323232326
J,Labor economics,2023,2003,2022,10,2477,248,331,3,92,36,0.391304347826087
J,Labor economics,2024,2004,2023,10,2586,259,336,3,100,38,0.38
J,Labor economics,2025,2005,2024,10,2666,267,361,3,124,52,0.41935483870967744
H,Public economics,1995,1975,1994,10,506,51,87,2,21,2,0.09523809523809523
H,Public economics,1996,1976,1995,10,517,52,89,2,16,2,0.125
H,Public economics,1997,1977,1996,10,515,52,93,2,15,0,0.0
H,Public economics,1998,1978,1997,10,494,50,89,2,22,4,0.18181818181818182
H,Public economics,1999,1979,1998,10,498,50,84,2,35,9,0.2571428571428571
H,Public economics,2000,1980,1999,10,509,51,86,2,32,7,0.21875
H,Public economics,2020,2000,2019,10,1444,145,363,2,39,18,0.46153846153846156
H,Public economics,2021,2001,2020,10,1468,147,361,2,56,20,0.35714285714285715
H,Public economics,2022,2002,2021,10,1501,151,366,2,66,26,0.3939393939393939
H,Public economics,2023,2003,2022,10,1590,159,382,2,73,26,0.3561643835616438
H,Public economics,2024,2004,2023,10,1687,169,400,2,67,21,0.31343283582089554
H,Public economics,2025,2005,2024,10,1775,178,418,2,74,29,0.3918918918918919
O,Development and growth,1995,1975,1994,10,251,26,251,1,13,4,0.3076923076923077
O,Development and growth,1996,1976,1995,10,257,26,257,1,10,3,0.3
O,Development and growth,1997,1977,1996,10,260,26,26,2,18,1,0.05555555555555555
O,Development and growth,1998,1978,1997,10,272,28,30,2,16,3,0.1875
O,Development and growth,1999,1979,1998,10,281,29,32,2,47,7,0.14893617021276595
O,Development and growth,2000,1980,1999,10,337,34,47,2,49,8,0.16326530612244897
O,Development and growth,2020,2000,2019,10,1496,150,193,3,81,29,0.35802469135802467
O,Development and growth,2021,2001,2020,10,1571,158,215,3,72,28,0.3888888888888889
O,Development and growth,2022,2002,2021,10,1649,165,224,3,63,20,0.31746031746031744
O,Development and growth,2023,2003,2022,10,1688,169,235,3,67,25,0.373134328358209
O,Development and growth,2024,2004,2023,10,1751,176,247,3,79,22,0.27848101265822783
O,Development and growth,2025,2005,2024,10,1850,185,266,3,84,35,0.4166666666666667
L,Industrial organization,1995,1975,1994,10,385,39,65,2,16,5,0.3125
L,Industrial organization,1996,1976,1995,10,393,40,74,2,7,4,0.5714285714285714
L,Industrial organization,1997,1977,1996,10,392,40,72,2,11,2,0.18181818181818182
L,Industrial organization,1998,1978,1997,10,390,39,73,2,10,0,0.0
L,Industrial organization,1999,1979,1998,10,395,40,71,2,34,4,0.11764705882352941
L,Industrial organization,2000,1980,1999,10,431,44,84,2,31,3,0.0967741935483871
L,Industrial organization,2020,2000,2019,10,1560,156,176,3,64,16,0.25
L,Industrial organization,2021,2001,2020,10,1628,163,185,3,50,14,0.28
L,Industrial organization,2022,2002,2021,10,1645,165,182,3,71,14,0.19718309859154928
L,Industrial organization,2023,2003,2022,10,1710,171,180,3,62,15,0.24193548387096775
L,Industrial organization,2024,2004,2023,10,1792,180,192,3,63,16,0.25396825396825395
L,Industrial organization,2025,2005,2024,10,1853,186,202,3,77,16,0.2077922077922078
G,Financial economics,1995,1975,1994,10,412,42,69,2,17,1,0.058823529411764705
G,Financial economics,1996,1976,1995,10,412,42,77,2,17,3,0.17647058823529413
G,Financial economics,1997,1977,1996,10,420,42,84,2,20,5,0.25
G,Financial economics,1998,1978,1997,10,436,44,83,2,19,7,0.3684210526315789
G,Financial economics,1999,1979,1998,10,451,46,88,2,35,5,0.14285714285714285
G,Financial economics,2000,1980,1999,10,494,50,96,2,32,10,0.3125
G,Financial economics,2020,2000,2019,10,1641,165,210,3,62,20,0.3225806451612903
G,Financial economics,2021,2001,2020,10,1692,170,213,3,74,23,0.3108108108108108
G,Financial economics,2022,2002,2021,10,1776,178,222,3,64,21,0.328125
G,Financial economics,2023,2003,2022,10,1816,182,227,3,70,25,0.35714285714285715
G,Financial economics,2024,2004,2023,10,1868,187,233,3,68,21,0.3088235294117647
G,Financial economics,2025,2005,2024,10,1941,195,232,3,75,16,0.21333333333333335
F,International economics,1995,1975,1994,10,392,40,89,2,9,3,0.3333333333333333
F,International economics,1996,1976,1995,10,386,39,89,2,12,3,0.25
F,International economics,1997,1977,1996,10,377,38,88,2,7,0,0.0
F,International economics,1998,1978,1997,10,371,38,83,2,10,1,0.1
F,International economics,1999,1979,1998,10,370,37,84,2,23,6,0.2608695652173913
F,International economics,2000,1980,1999,10,388,39,84,2,32,5,0.15625
F,International economics,2020,2000,2019,10,948,95,100,4,32,18,0.5625
F,International economics,2021,2001,2020,10,961,97,102,4,33,12,0.36363636363636365
F,International economics,2022,2002,2021,10,982,99,143,3,31,13,0.41935483870967744
F,International economics,2023,2003,2022,10,1004,101,140,3,53,19,0.3584905660377358
F,International economics,2024,2004,2023,10,1044,105,147,3,32,15,0.46875
F,International economics,2025,2005,2024,10,1062,107,144,3,43,12,0.27906976744186046
I,"Health, education, and welfare",1995,1975,1994,10,115,12,115,1,10,1,0.1
I,"Health, education, and welfare",1996,1976,1995,10,119,12,119,1,13,3,0.23076923076923078
I,"Health, education, and welfare",1997,1977,1996,10,132,14,132,1,8,1,0.125
I,"Health, education, and welfare",1998,1978,1997,10,141,15,141,1,6,3,0.5
I,"Health, education, and welfare",1999,1979,1998,10,144,15,15,2,24,6,0.25
I,"Health, education, and welfare",2000,1980,1999,10,160,16,21,2,25,3,0.12
I,"Health, education, and welfare",2020,2000,2019,10,1384,139,193,3,56,29,0.5178571428571429
I,"Health, education, and welfare",2021,2001,2020,10,1435,144,200,3,55,19,0.34545454545454546
I,"Health, education, and welfare",2022,2002,2021,10,1516,152,206,3,62,15,0.24193548387096775
I,"Health, education, and welfare",2023,2003,2022,10,1614,162,205,3,51,19,0.37254901960784315
I,"Health, education, and welfare",2024,2004,2023,10,1678,168,215,3,63,18,0.2857142857142857
I,"Health, education, and welfare",2025,2005,2024,10,1763,177,235,3,74,32,0.43243243243243246
